"spatialunit_uid","spatialunit_current_id","spatialunit_ontology","name","name_de","name_fr","name_it","country","canton","district","municipal","residence_area","neighborhood","region","zone","spatialunit_hist_id","canton_hist_id","district_hist_id","valid_from","valid_until"
"2803_A.ADM3",2803,Municipality,Arlesheim,Arlesheim,Arlesheim,Arlesheim,false,false,false,true,false,false,false,false,11765,13,10092,1960-01-01,1993-12-31
"3296_A.ADM3",3296,Municipality,Sargans,Sargans,Sargans,Sargans,false,false,false,true,false,false,false,false,14416,17,10269,2003-01-01,2999-12-31
"5917_A.ADM3",5917,Municipality,Gossens,Gossens,Gossens,Gossens,false,false,false,true,false,false,false,false,14740,22,10276,2006-09-01,2007-12-31
"6231_A.ADM3",6231,Municipality,Ayer,Ayer,Ayer,Ayer,false,false,false,true,false,false,false,false,11686,23,10178,1960-01-01,2008-12-31
"5065_A.ADM3",5065,Municipality,Calonico,Calonico,Calonico,Calonico,false,false,false,true,false,false,false,false,11497,21,10005,1960-01-01,2006-01-28
"5192_A.ADM3",5192,Municipality,Lugano,Lugano,Lugano,Lugano,false,false,false,true,false,false,false,false,15628,21,10003,2013-04-14,2999-12-31
"5928_A.ADM3",5928,Municipality,Rovray,Rovray,Rovray,Rovray,false,false,false,true,false,false,false,false,14544,22,10276,2006-09-01,2999-12-31
"6633_A.ADM3",6633,Municipality,Plan-les-Ouates,Plan-les-Ouates,Plan-les-Ouates,Plan-les-Ouates,false,false,false,true,false,false,false,false,13114,25,10187,1960-01-01,2999-12-31
"487_A.ADM3",487,Municipality,Courrendlin,Courrendlin,Courrendlin,Courrendlin,false,false,false,true,false,false,false,false,13245,2,10145,1976-01-01,1978-12-31
"5746_A.ADM3",5746,Municipality,Bavois,Bavois,Bavois,Bavois,false,false,false,true,false,false,false,false,14786,22,10276,2006-09-01,2999-12-31
"2084_A.ADM3",2084,Municipality,Macconnens,Macconnens,Macconnens,Macconnens,false,false,false,true,false,false,false,false,11216,10,10106,1960-01-01,1972-12-31
"4837_A.ADM3",4837,Municipality,Pfyn,Pfyn,Pfyn,Pfyn,false,false,false,true,false,false,false,false,13144,20,10009,1960-01-01,1997-12-31
"6475_A.ADM3",6475,Municipality,Dombresson,Dombresson,Dombresson,Dombresson,false,false,false,true,false,false,false,false,12194,24,10185,1960-01-01,2012-12-31
"2935_A.ADM3",2935,Municipality,Herblingen,Herblingen,Herblingen,Herblingen,false,false,false,true,false,false,false,false,11233,14,10089,1960-01-01,1963-12-31
